id,conversation_id,participant,turn_id,context,verbatim,words,unit_type,disfluency,laughter,clause,dependent_clause,"coordinate_clause
",ellipsis,comments
1,conversation_009901,participant_6,102,"Right before the signal, participant_9 notes that ""the strings should be in the middle,"" and participant_6 responds by clarifying that one of them already is ""in the middle."" Then he says ""Oh[BEEP]."" — apparently reacting to something he noticed or realized about the ""middle"" or the placement. The participants (participant_6, participant_9, participant_15, participant_2, and others) are in a home setting, discussing food for a cat (Reggie) and for birds, trying to hang or arrange some pieces (likely fat or food), while talking about various details like the best place to hang them, how to fix them so the cat can't reach them, etc. There's no precise information about the location or purpose of the gathering, other than it being a casual family/friendly home interaction.","participant_6: “It was in the mi , that one’s in the middle.”
participant_9: “Yeah, that’s the only one.”
participant_6: “Oh[BEEP].”
participant_6: “Let’s see if we’ve got some funny feet on here.”",Oh,single_word,absent,absent,0,0,0,absent,
2,conversation_009901,participant_6,163,"Just before the signal, they are discussing where to hang or place the food so that the cat (Reggie) doesn’t eat it and the birds can access it. participant_6 says “No somewhere” (162.0), and then adds, “Or <pause> no I don’t reckon they’re g[BEEP]onna come there do you?” (163.0) — expressing doubt that birds would actually come to that spot. The same domestic conversational setting as before. The participants are discussing the placement of bird food in a way that keeps it away from the cat while still accessible to birds.","participant_6: “No somewhere.”
participant_6: “Or <pause> no I don't reckon they're g[BEEP]onna come there do you?”
participant_9: “Oh no, cos Reg will eat it.”",Or <pause> no I don't reckon they're g[BEEP]onna come there do you?,full_sentence,absent,absent,3,2,0,present,"Post-Auxiliary Ellipsis (PAE). P. Miller, 2014"
3,conversation_009903,participant_15,722,"Prior to the signal, there’s lively play and teasing: someone is pinching or tickling someone else, asking to be let go, laughing. In turn 722.0, the speaker gives an instruction — “you gotta put your hand in there” — likely continuing the game or trying to demonstrate what to do. A family/friendly setting with adults and children present (participant_9, participant_6, participant_15, Anon), engaging in playful activities and various conversations.","participant_15: “<unclear> you go[BEEP]tta put your hand in there.”
participant_15: “<unclear>. Mum you <unclear>.”
participant_15: “Lift me up here, lift me up there mum.”", you go[BEEP]tta put your hand in there.,full_sentence,absent,absent,1,0,0,absent,
4,conversation_009903,participant_9,736,"Before the signal (turn 735.0), participant_9 says “That's enough now.” — indicating it’s time to stop the roughhousing. Then, in turn 736.0, she says: “Someon[BEEP]e's gonna get hurt,” warning that continuing may result in someone getting injured. The same home environment with teasing and physical interaction; participant_9 is trying to stop the play out of concern for safety.","participant_6: “Ooh.”
participant_9: “That’s enough now.”
participant_9: “Someon[BEEP]e’s gonna get hurt.”
participant_9: “That’s enough now, Daniel.”",Someone’s gonna get hurt,full_sentence,absent,absent,1,0,0,absent,
5,conversation_009905,participant_15,801,"A child (likely) is asking about an object they don’t understand. participant_6 has just said it's ""for Father Christmas."" The speaker responds with a simple one-word question — “Why?” — likely seeking explanation. This utterance continues the topic and interaction, following a question-answer format. It is contextually dependent on the preceding utterance, maintaining the flow of a real-time dialogue.","Anon 1 803.0 Dann[BEEP]y. 
Unknown 804.0 He, he doesn't speak <unclear> 
participant_9 805.0 And he already heard you swear.",Danny,single_word,absent,absent,0,0,0,absent,
6,conversation_009905,participant_6,802,Participant calls Danny,"participant_15: “Why?”
participant_6: “Cos he want[BEEP]s to know what sort of boy you are.”
participant_2: “Danny.”
participant_15: “He, he doesn’t speak <unclear>.”",Cos he wants to know what sort of boy you are,full_sentence,absent,absent,2,3,0,absent,
7,conversation_009909,participant_3,904,"participant_3 is discussing payment and the scope of work with participant_9, likely in the context of cleaning windows or doing a job inside or outside the house. Before this line, he explicitly tells participant_9 not to clean certain doors, implying a narrowed scope of labor. The phrase with the beep defines the total price for the remaining work — “that’ll be the fifteen-pound lot.” It signals the closing of a negotiation or clarification of cost.","participant_3: “Don’t do that door.”
participant_3: “Don’t do the front door.”
participant_3: “Don’t do that door out there.”
participant_3: “And that’ll be the fifteen p[BEEP]ound lot <unclear>.”
participant_9: “Yeah okay yeah.”",And that'll be the fifteen pound lot <unclear>.,full_sentence,absent,absent,1,0,0,absent,
8,conversation_009909,participant_15,930,"The speaker is explaining a decision to do something “from outside” instead of inside. He begins a sentence with “Cos it’ll be,” hesitates, and continues with “make it a bit easier.” The syntax is slightly broken, and the word “pause” seems to mark a moment of disfluency. The speaker appears to be justifying a practical choice in how to approach a task.","participant_15: “Actually I’ll do these from outside actually.”
participant_15: “Cos it’ll be er <paus[BEEP]e> make it a bit easier.”
participant_9: “Well you do it how you…”
participant_15: “Okay.”",Cos it’ll be [pause] make it a bit easier,full_sentence,present,absent,1,0,0,absent,
9,conversation_009910,participant_3,944,"participant_3 and participant_6 are having a conversation about a recent interaction — possibly with a doctor or authority figure. participant_6 mentions that someone asked him how his “last day” was, and he replied that he didn’t know. participant_3 appears to be clarifying something with a date: “First of December,” presumably referring to when something is supposed to happen or started. The sentence is fragmentary and likely elliptical — either a standalone clarification or a response to something implicit in participant_6’s previous turn.","participant_6: “She said how was the last day.”
participant_6: “I said I don’t know.”
participant_3: “First o[BEEP]f December <unclear>”
participant_6: “Oh she said I, you can’t do that.”",First of December <unclear>,phrase,absent,absent,0,0,0,indeterminate,cannot interpret the presence of an ellipsis because the continuation of the phrase is unclear.
10,conversation_009910,participant_6,947,participant_6 is recounting a conversation he had — likely with a doctor or official — regarding a procedural or administrative issue (possibly health-related). He builds a narrative in which he repeatedly says “I said…” as he recreates the dialogue. The beeped sentence appears at the tail end of a complex structure: “I thought it was stupid… for them to mess around like that.” It expresses frustration or criticism of perceived inefficiency.,"participant_6: “I said to her as how seeing I’m sixty one Christmas I said I I can’t, I thought it was stupid… for them to mess around like [BEEP]that.”
participant_3: “Mm.”
participant_6: “Trouble is none of them knows about I up there.”",I thought it was stupid… for them to mess around like that,full_sentence,present,absent,3,2,0,absent,
11,conversation_018202,participant_14,143,"participant_14 and participant_1 are engaged in a casual, reflective conversation, possibly about life changes or work. participant_1 had just made a vague comment: “<unclear> lot of things.” participant_14 follows with “It’s going well.” The referent of “it” isn’t explicitly defined, but judging by the overall tone and subsequent topic (friend Andy), it may refer to life in general or participant_14’s job.","participant_1: “<unclear> lot of things.”
participant_14: “It’s going wel[BEEP]l.”
participant_1: “You and Andy?”
participant_14: “Oh yeah.”",It’s going well,full_sentence,absent,absent,1,0,0,absent,
12,conversation_018203,participant_14,308,"Before this line, participant_1 describes a teacher who would swing her paralyzed arm to hit students’ ears. participant_14 then says: “Just far enough to get your earhole[BEEP].” They are reminiscing about school, punishment, and teachers’ quirks.","participant_1        307        That's all she could move it really was
participant_14        308        Just far enough to get your earhole[BEEP].
participant_1        309        like that.
participant_14        310        Yeah.",Just far enough to get your earhole.,phrase,absent,absent,1,1,0,present,
13,conversation_018204,participant_1,535,"participant_1 and participant_14 are wrapping up a long and casual evening conversation, recounting a night out, drinking, gossip about neighbors, and humorous exchanges. Just before the beep, participant_1 had teased participant_14 about enjoying himself and drinking too much, saying, “Oh so you’ve had bloody supper have you?” and “Smell like a bloody brewery.” Then she laughingly announces: “I’m going to bed now,” with the beep landing on the word “laughing,” which is marked as paralinguistic context.","participant_14: “<unclear> home and <unclear>”
participant_1: “<lau[BEEP]ghing>: [ I'm going to bed now ]”
participant_14: “Have one more at yours before we… you know…”
participant_1: “So participant_5’s gonna be in trouble.”",<lau[BEEP]ghing>: [ I'm going to bed now ],full_sentence,absent,present,0,0,0,absent,
14,conversation_018204,participant_1,717,"participant_1 and participant_14 are discussing a distressing incident involving their neighbors — a young couple engaged in a loud, aggressive fight. participant_1 reports hearing screaming, swearing, and banging. Her utterance “She’s been screaming” comes at the peak of this account, emphasizing the woman’s extreme distress and forming part of a vivid depiction of domestic violence. The beep occurs mid-word (“been”).","participant_14: “What’ve they been up to now then?”
participant_1: “Oh god!”
participant_1: “She’s be[BEEP]en screaming.”
participant_1: “He’s been <pause> reckon she must have locked herself up in the dark.”
participant_1: “And the only place with a lock on is the bathroom…”",She’s been screaming,full_sentence,absent,absent,1,0,0,absent,
15,conversation_018205,participant_14,837,"participant_1 brings participant_14 a cup of tea and thanks him. participant_14 responds with “Very kind of you,” a conventional phrase of politeness and gratitude. It functions as a closing turn in a small adjacency pair (offer/thanks → acknowledgment). The beep lands mid-phrase, during “you,” but the utterance is fully recoverable and highly formulaic.","participant_1: “There you are I’ve made you a cup of tea.”
participant_1: “Thank you dear.”
participant_14: “Very kind of [BEEP]you.”
participant_1: “Are you sure you don’t want any breakfast?”",Very kind of you,phrase,absent,absent,0,0,0,absent,
16,conversation_018205,participant_14,847,"participant_1 is concerned that participant_14 is skipping breakfast, warning him that he’ll be hungry. participant_14 justifies this by listing what he consumed the night before — tea, beer, and sandwiches. The beep occurs mid-pause (marked as <pause[BEEP]>) in the middle of a longer utterance. The structure is informal, with mild disfluency, but the communicative intent is clear: reassurance and self-justification.","participant_1: “You’ll be hungry.”
participant_14: “<unclear>”
participant_1: “Eh?”
participant_14: “<unclear>”
participant_1: “What do you mean good?”
participant_1: “Don’t be silly.”
participant_1: “What’s the point in getting really hungry?”
participant_14: “<pause> Had me tea last night and <pause[BEEP]> the beer and <pause> <unclear> few sandwiches last night.”",Had me tea last night and <pause[BEEP]> the beer and <pause> <unclear> few sandwiches last night.,phrase,absent,absent,1,0,0,present,
