id,participant,sample_id,context,verbatim,words,experience_type,unit_type,disfluency,laughter,speech_certainty,clause,dependent_clause,"coordinate_clause
",clarity,ellipsis,comments
1,participant_a,3.2.3,"participant_a is watching a TV show called “Paranormal Caught on Camera,” where someone on the show says the sentence “that happened to me” (the beep occurs at the word “happened” on the TV). She is leaning back on a couch, feeling a sense of deep relaxation (relief of tension throughout her body, especially upper body first). She mentions feeling allowed to relax—“giving herself permission” to be tired and rest. She also describes being spooked but intrigued by the paranormal story on TV.","RTH: So at the moment of this beep, Are there words involved? participant_a: I would say [pause] yes. RTH: And what exactly are they? participant_a: The, um, intrigued. The word ""intrigued"" was very prominent. [...] the word of ""intrigued"" was surrounding that beep. Not exactly on the beep. I wouldn't say that. I would say... Actually, I don't know. [...] My voice comes out and it's [...] It's like when you yell at a canyon and you hear your echo. Like that echo to me is my inner dialogue that is just reflecting the feelings and the thoughts that are occurring in that exact moment.",intrigued,inner_speaking,single_word,absent,absent,certain,0,0,0,high,absent,
3,participant_a,5.3.2,participant_a is experiencing a stomach ache at home (no clear external interaction specified). She is “hyper-focused” on the sensation in her stomach.,"The words were my attempt to give myself some comfort in saying that I’m normal. This is normal, I’m normal. This is okay. [...] The beep fell on this, uh, word called the, the word in my mind (it was an inner dialogue) 'feels.' I was saying, 'this is, this feels normal.' Or 'is this normal?' And that’s the word 'feels' just stuck. I can hear this, my own voice in my mind speaking to me as I am to you, except it’s inside. [...] I wrote down “feels that I am normal” and in that moment I, as I was trying to calm myself down, I was having some internal words that...I’m not exactly sure what I was trying to say when I wrote that down.","this is, this feels normal / is this normal?",inner_speaking,full_sentence,present,absent,certain,1,0,0,high,absent,
14,participant_b,4.6.1,"participant_b is in class, hearing about a disease that turns the skin orange. He daydreams about his grandmother’s leg lesion (recently seen in person) and considers texting a friend in PA school who is good at dermatology.","And during the beep, I was saying, “Do you think this is AK?” (As in actinic keratosis.)",Do you think this is AK?,inner_speaking,full_sentence,absent,absent,certain,2,1,0,high,absent,
22,participant_b,7.2.1,"participant_b was seated in the back of a small ""puddle jumper"" plane that had already taken off. The turbulence was stronger than usual, and he could feel the motion intensely. Other passengers were visibly looking around, presumably reacting to the turbulence. At the moment of the beep, participant_b was looking out the window at the wing but was not focusing on any particular aspect of it.","I said in internal monologue, when it beeped, “This is out of your control.”[...] 5:54 AK: Okay. So the “this is out of your control.” I’m understanding that to be an internal monologue thing, your voice [participant_b: Yeah.] Spoken? 6:02 participant_b: Yeah. It was similar to the first beep. 6:04 AK: Okay. Any particular tone or inflection or accent? 6:12 participant_b: No. ",This is out of your control,inner_speaking,full_sentence,absent,absent,certain,1,0,0,high,absent,
25,participant_b,8.1.1,"participant_b is looking at his phone, where “10%” is displayed, but this is not part of his experience. A verbal formulation is present in his mind, seemingly part of a larger thought process. However, the beep occurs before the thought is completed, leaving him unable to recall what he had been about to express.","""I was saying the words 'and the.' I don’t remember what I was talking about or what I was even gonna say. It was interrupted by the beep."" [...] ""I was hearing the words, not saying them."" [...] ""It’s not like an active process. Like I’m not actively trying to say it. It’s just like coming in, in the background."" [...] ""It just sounds like my voice."" [...] ""It’s my thought voice. It’s not like what I’m hearing when I’m speaking out loud right now."" [...] ""There’s no sound to it. It’s just words that are flowing."" [...] ""It was like a daydream in words, and then the beep just cut it off."" [...] It’s just words... I know there’s words attached to it.",and the,indeterminate,fragment,absent,absent,certain,0,0,0,low,absent,
28,participant_b,8.4.1,"participant_b was browsing a Facebook post that featured a humorous quote attributed to a cat. After reading the quote, he scrolled to a picture below it. Rather than focusing on the image, his attention drifted inward, and he mentally revisited the quote in a way that momentarily disengaged him from his surroundings, producing a fleeting, daydream-like state.","I repeated what I read, ‘Fuck you … feed me’ in my head. [...] It feels spoken, but I’m not controlling the speaking. [...] It’s like one I’m sitting in the front seat of the car driving and the other one I’m in the back seat and I’m just along for the ride.",Fuck you … feed me,indeterminate,sentence,absent,absent,certain,2,0,0,high,absent,
32,participant_b,9.5.1,"participant_b is reading a book and is fully immersed (""in-the-zone""), reading efficiently without distractions. Although he had previously visualized yin and yang earlier in the book, no image is produced this time. His experience is purely linguistic, focused on the words themselves as he reads.","It was almost like I read ‘yin and yang’ all as one thing, instead of saying the words individually, like ‘yin’ ‘and’ ‘yang,’ like in speech. It was more like ‘yin-and-yang’ were just grouped together.” [...] 45:03 RTH: Yeah. So, so there are, so I am speaking these words, and I’m speaking them fast, and I’m speaking to more or less as a clump, “yin-and-yang,” as opposed to three individual words. 45:15 participant_b: Yes.",Yin and yang,inner_speaking,overlapping_words,absent,absent,certain,0,0,0,high,absent,
54,participant_c,3.5.1,"The participant was cycling home, climbing a 375-foot incline over a mile. This was the first time they had done this ride for the year, and they were nearing the top of the climb.","I innerly said to myself with words, ‘I should do this every day!’ Then immediately, I responded skeptically, ‘but then only my legs would be strong.’ [...] The sentences seemed complete but somehow much faster than if I had actually said them out loud.",I should do this every day! But then only my legs would be strong.,inner_speaking,full_sentence,absent,absent,certain,2,0,1,high,absent,
56,participant_c,5.2.1,"participant_c was riding his bike past a car that was backed into a driveway. While looking at the front of the car, he noticed the absence of any make or brand identifier. At the same time, he was visually perceiving two large auxiliary lights on the car.","I innerly said to myself, “it isn’t anything” such that all three words seem to overlap as if to be simultaneous. And by “it isn’t anything” [audio cuts out for 10-15 seconds] that there is no it’s no simultaneous. It also had a quality that felt equal parts passive, as if I was just realizing it had no make, and hearing myself say “it isn’t anything.” And actually saying it as if I was making …[audio glitches] It was like, I heard myself saying them, but it was like, I was also actively making the exclamation",It isn’t anything,inner_both,overlapping_words,absent,absent,certain,1,0,0,high,absent,
63,participant_c,7.2.1,"participant_c was flipping through TV channels and paused on America’s Funniest Home Videos, Animal Edition. A cat named Albert was refusing to come down from a tree and instead jumped higher into another tree. The cat’s owner, Jane, made an exclamation that participant_c did not clearly hear. At the moment of the beep, participant_c was looking at the Norwegian subtitles on the screen, which translated her exclamation to ""Albert, hva gjør du nå?"" (""Albert, what are you doing now?"").","I’m hearing Jane say, ‘Albert, what are you doing now? Yes, I think I was hearing her in my mind. I heard it the first time, but what she said wasn’t clear. And the second time I heard the exact translation of the words on the screen. Yes. It’s in Jane’s voice.","Albert, what are you doing now?",inner_hearing,full_sentence,absent,absent,certain,1,0,0,high,absent,
